Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel
Lekplats,playground,Lekplats,Hildebergsvägen,,59.3038312,18.0278501,Liljeholmen
Lekplats,playground,Lekplats,Sturehillsvägen,,59.3035153,18.0318319,Liljeholmen
Lekplats,playground,Lekplats,Sjöviksbacken,,59.3045217,18.0288372,Liljeholmen
Lekplats,playground,Lekplats,Nybohovsbacken,,59.3072373,18.0149026,Liljeholmen
Lekplats,playground,Lekplats,Nybohovsbacken,,59.3094402,18.0136908,Liljeholmen
Lekplats,playground,Lekplats,Sjöviksvägen,,59.305502,18.0373301,Liljeholmen
Lekplats,playground,Lekplats,Terrängvägen,,59.2920811,17.9634116,Västertorp
Lekplats,playground,Lekplats,Terrängvägen,,59.2915282,17.9647205,Västertorp
Lekplats,playground,Lekplats,Terrängvägen,,59.2923007,17.9646263,Västertorp
Lekplats,playground,Lekplats,Domargränd,,59.2921334,17.9667836,Västertorp
Lekplats,playground,Lekplats,Vasaloppsvägen,,59.2936644,17.9661966,Västertorp
Lekplats,playground,Lekplats,,,59.2935138,17.9633416,Västertorp
Lekplats,playground,Lekplats,Vasaloppsvägen,,59.2927394,17.9624268,Västertorp
Lekplats,playground,Lekplats,Isgränd,,59.291388,17.9680901,Västertorp
Lekplats,playground,Lekplats,Västertorpsvägen,,59.2905198,17.9684915,Västertorp
Lekplats,playground,Lekplats,Klensmedsvägen,4,59.2951395,17.9995557,Västberga
Lekplats,playground,Lekplats,Sturehillsvägen,,59.3026556,18.0308653,Liljeholmen
Lekplats,playground,Lekplats,Fregattvägen,,59.3129195,18.0010809,Gröndal
Lekplats,playground,Lekplats,Nybodaringen,,59.3049968,18.0255274,Liljeholmen
Lekplats,playground,Lekplats,Årsta Skolgränd,,59.302216,18.031414,Liljeholmen
Lekplats,playground,Lekplats,Sjöviksbacken,,59.3047207,18.0301015,Liljeholmen
Lekplats,playground,Lekplats,Sannadalsvägen,,59.3146938,18.0132614,Gröndal
Lekplats,playground,Lekplats,Ljusstöparbacken,,59.3141886,18.0107816,Gröndal
Mastparken,playground,Lekplats,Bryggvägen,,59.3158526,17.9982854,Gröndal
Sannadalsparkens utegym,fitness_station,Gym/Utomhusgym,Gröndalsvägen,,59.3150089,18.0085257,Gröndal
Lekplats,playground,Lekplats,Gröndalsvägen,,59.3150309,17.9861643,Gröndal
Liljeholmens utegym,fitness_station,Gym/Utomhusgym,Liljeholmsgränd,,59.3106174,18.0205876,Liljeholmen
Lekplats,playground,Lekplats,Gröndalsvägen,,59.3152632,17.9894619,Gröndal
Lekplats,playground,Lekplats,Gröndalsvägen,,59.3152142,17.9885647,Gröndal
Lekplats,playground,Lekplats,Svartlösavägen,,59.2737193,17.9776202,Älvsjö
Fågelparken,playground,Lekplats,Aspuddsstigen,,59.3080827,17.9841934,Aspudden
Lekplats,playground,Lekplats,Mästarbacken,,59.2986681,17.9437829,Mälarhöjden
Lekplats,playground,Lekplats,Sturehillsvägen,,59.3027555,18.0315241,Liljeholmen
Lekplats,playground,Lekplats,Sjövikstorget,,59.307854,18.029127,Liljeholmen
Blixtparken,playground,Lekplats,Nybohovsbacken,,59.309063,18.0179701,Liljeholmen
Lekplats,playground,Lekplats,Oktobergatan,,59.3016053,18.0058844,Midsommarkransen
Lekplats,playground,Lekplats,Vattenledningsvägen,,59.3006608,18.0050278,Midsommarkransen
Lekplats,playground,Lekplats,Tellusborgsvägen,,59.3015448,18.0054177,Midsommarkransen
Midsommarköket,cafe,Kafé,Tellusborgsvägen,,59.3008355,18.004508,Midsommarkransen
Lekplats,playground,Lekplats,Sylvestergatan,,59.2874314,18.0276342,Älvsjö
Lekplats,playground,Lekplats,Mälsåkersvägen,,59.2805162,18.0286972,Örby slott
Lekplats,playground,Lekplats,Rävsnäsvägen,,59.2800356,18.0270507,Örby slott
Lekplats,playground,Lekplats,Vattenledningsvägen,,59.3022227,18.0079737,Midsommarkransen
Lekplats,playground,Lekplats,Sjöviksvägen,,59.305432,18.0365934,Liljeholmen
Lekplats,playground,Lekplats,Sjöviksvägen,,59.3056007,18.0368085,Liljeholmen
Utegym,fitness_station,Gym/Utomhusgym,Vinterviksvägen,,59.3117506,18.0025198,Gröndal
Lekplatsen Ada Nilsson,playground,Lekplats,Ada Nilssons gata,,59.2844051,17.9560886,Fruängen
Lekplats,playground,Lekplats,Ada Nilssons gata,,59.2836804,17.9566138,Fruängen
Lekplats,playground,Lekplats,Liljeholmsgränd,,59.3110246,18.0225364,Liljeholmen
Lekplats,playground,Lekplats,Cedergrensvägen,,59.302719,18.002662,Midsommarkransen
Lekplats,playground,Lekplats,Cedergrensvägen,,59.3028075,18.0027238,Midsommarkransen
Lekplats,playground,Lekplats,Cedergrensvägen,,59.3028772,18.0028384,Midsommarkransen
Lekplats,playground,Lekplats,Selmedalsringen,,59.3069467,17.9792219,Hägersten
Lekplats,playground,Lekplats,Katrinebergsbacken,,59.3117019,18.0269593,Liljeholmen
Lekplats,playground,Lekplats,Katrinebergsbacken,,59.3115473,18.0263545,Liljeholmen
Lekplats,playground,Lekplats,Glasbjörksvägen,,59.278695,17.9801065,Älvsjö
Lekplats,playground,Lekplats,Karin Boyes gata,,59.2806896,17.9583986,Fruängen
Lekplats,playground,Lekplats,Stövelvägen,,59.2867138,18.0079936,Solberga
Lekplats,playground,Lekplats,Herbariegränd,,59.3032761,18.0168782,Liljeholmen
Lekplats,playground,Lekplats,Telefonvägen,,59.2994264,18.001098,Midsommarkransen
Lekplats,playground,Lekplats,Personnevägen,,59.2914217,17.9808894,Hägerstensåsen
Lekplats,playground,Lekplats,Hultgränd,,59.2824295,17.9751216,Älvsjö
Lekplats,playground,Lekplats,Årstadalsinfarten,,59.3076001,18.0259084,Liljeholmen
