id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north,Stadsdel
8725,förskola,Kata Dalström,Kata Dalströms gata 23,12954,Hägersten,17.9603854,59.2851332,Fruängen
30310,förskola,Kobran,Mobilgatan 3B,12626,Hägersten,17.9890975,59.2978941,Midsommarkransen
6748,förskola,Korpen,Schlytersvägen 55,12650,Hägersten,18.006897,59.3064018,Aspudden
10462,förskola,Kristallen,Isgränd 6,12946,Hägersten,17.9681302,59.2908257,Västertorp
8959,förskola,Kroppås,Sankt Mickelsgatan 122,12941,Hägersten,17.9593892,59.2983479,Hägersten
8386,förskola,Lillgårdens waldorfförskola,Broderivägen 13,16838,Bromma,17.9294811,59.3390824,Åkeshov
6695,förskola,Lillskogen,Karlslundsvägen 10,12552,Älvsjö,17.9816651,59.2687269,Långsjö
7081,förskola,LM-gården,Trettondagsvägen 7–9,12636,Hägersten,17.9980105,59.2999201,Midsommarkransen
8684,förskola,Luren,Kransbindarvägen 120,12636,Hägersten,17.9982216,59.3023329,Midsommarkransen
10718,förskola,Långbropark förskola,Stora mans väg 11B,12559,Älvsjö,17.9731195,59.2824177,Älvsjö
8700,förskola,Långsjö,Gårdstigen 19,12552,Älvsjö,17.9744804,59.2661284,Långsjö
8955,förskola,Majamyra,Torsslowsbacken 2,12937,Hägersten,17.9760782,59.3066089,Hägersten
7327,förskola,Mariehälls Montessoriförskola,Hagelstavägen 20,16866,Bromma,17.9479265,59.3597655,Mariehäll
6734,förskola,Matrisen,Långsjövägen 14,12530,Älvsjö,17.9968241,59.2742858,Långsjö
10526,förskola,Metronomen,Radiusbacken 31,12629,Hägersten,18.0041428,59.2981625,Västberga
9884,förskola,Mineralen,Skodonsvägen 9,12677,Hägersten,18.0067707,59.2889789,Solberga
7672,förskola,Minne Mus Montessoriförskola,Svartviksslingan 88,16739,Bromma,17.987515,59.3399391,Traneberg
8427,förskola,Montessoriförskolan Bromma Planeten,Söderberga allé 28,16862,Bromma,17.8964789,59.359664,Beckomberga
10175,förskola,Montessoriförskolan Liten och Stor,Stopvägen 37,16835,Bromma,17.9460517,59.3353261,Bromma
8759,förskola,Montessoriförskolan Regnbågen,Krattvägen 20,12532,Älvsjö,17.9872618,59.2850042,Älvsjö
8769,förskola,Muminstugan,Vantörsvägen 150,12557,Älvsjö,17.9899538,59.2732489,Älvsjö
9922,förskola,Möjbro – Ängbybarnens förskolor,Möjbrovägen 8,16854,Bromma,17.9248178,59.3445878,Bromma
10303,förskola,Norlandia förskolor Måsen,Blommensbergsvägen 163 och 180,12652,Hägersten,149621.0,6576741.0,N/A
10600,förskola,Norlandia förskolor Sagohjälten,Annedalsvägen 39,16865,Bromma,17.9498785,59.3646939,Mariehäll
10529,förskola,Norlandia förskolor Sagoträdet,Tappvägen 8 D,16875,Bromma,17.9505849,59.3631972,Mariehäll
6844,förskola,Orkestern,Responsgatan 1,12629,Hägersten,18.0027904,59.2974806,Västberga
6847,förskola,Paletten Huvudfabriksgatan 18–20,Huvudfabriksgatan 18–20,12626,Hägersten,17.9902536,59.2998468,Midsommarkransen
8802,förskola,Prästängen,Prästgårdsgränd 16,12544,Älvsjö,18.0103612,59.2813446,Älvsjö
10082,förskola,Pysslingen Färjan,Färjestadsvägen 5,16851,Bromma,17.9038639,59.3389752,Nockebyhov
10263,förskola,Pysslingen Förskolor Isälven,Kamrerarvägen 19,12930,Hägersten,17.9862666,59.2931554,Hägerstensåsen
10085,förskola,Pysslingen Kastanjelunden,Lummelundagatan 3,16863,Bromma,17.9001156,59.3564118,Beckomberga
9621,förskola,Pysslingen Mälarhöjdsparken,Emilia Fogelklous gata 10,12957,Hägersten,17.9520797,59.2856162,Fruängen
9614,förskola,Pysslingen Sagoträdet,Långbrovägen 55,12533,Älvsjö,17.9900076,59.2809324,Älvsjö
9319,förskola,Pysslingen Smältrullen,Borrvägen 5,12638,Hägersten,17.9972595,59.2939371,Västberga
9304,förskola,Pysslingen Typografen,Gösta Ekmans Väg 7,12935,Hägersten,17.9798047,59.3031586,Hägersten
9618,förskola,Pysslingen Örtagården,Örtagårdsvägen 1–2,12534,Älvsjö,17.9947307,59.2797772,Långsjö
