namn,kategori,gata,lat,lon,stadsdel
Solkatten Medaljonggatan 10–14,förskola,Medaljonggatan 10–14,59.2832262,17.9980649,Solberga
Solstrålen Hägerstensvägen 179,förskola,Hägerstensvägen 179,59.3048255,17.9899728,Aspudden
Solängen,förskola,Solberga Ängsväg 4–6,59.2814997,18.0130976,Älvsjö
SPIRA Förskolor Bromma,förskola,Tunnlandsvägen 91 A,59.3366239,17.9393558,Bromma
Svandammsgården,förskola,Cedergrensvägen 5–7,59.3018124,18.000362,Midsommarkransen
Svanens förskola vid Telefonplan,förskola,Flygelgatan 1,59.2983557,18.0008673,Västberga
Sylvester,förskola,Sylvestergatan 2–6,59.2852172,18.0306373,Älvsjö
Tellusbarn Pusslet,förskola,Mockasinvägen 24,59.2836864,18.0156527,Solberga
Toppen,förskola,Persmässgränd 16,59.2956123,17.956764,Mälarhöjden
Torngårdens Waldorfförskola,förskola,Drachmannsgatan 3,59.345625,17.8883724,Blackeberg
"Treklövern, Stamgatan 2 A",förskola,Stamgatan 2 A,59.2840519,18.0413923,Östberga
Trollsländan,förskola,Sulvägen 22,59.2864905,18.004748,Solberga
Tryggis,förskola,Doktor Abrahams väg 29,59.3602436,17.912345,Eneby
Vasan,förskola,Vasaloppsvägen 110,59.2922218,17.9611069,Västertorp
"Vi som växer, Förskolan Vansö",förskola,Vansövägen 4,59.2732527,18.034312,Älvsjö
Viveln,förskola,Vivelvägen 40,59.2777684,17.9906706,Älvsjö
Vågavilja,förskola,Gårdstigen 1,59.2661402,17.974448,Långsjö
Ålstens Montessoriförskola,förskola,Bågvägen 42,59.3188933,17.9519888,Ålsten
Åsen,förskola,Sedelvägen 2B,59.297199,17.985313,Hägerstensåsen
Älvens Förskola,förskola,Älvsjö gårdsväg 3–9,59.2769127,18.0113096,Liseberg
Älvsjö förskola,förskola,Långbrodalsvägen 1,59.2795055,18.0021474,Liseberg
Älvsjöbarnen,förskola,Murgrönsvägen 17,59.2767256,17.9679808,Älvsjö
Älvskogen,förskola,Långsjövägen 33,59.2742031,17.9974537,Långsjö
Ängbygården – Ängbybarnens förskolor,förskola,Vultejusvägen 63–67,59.3437417,17.9088371,Norra Ängby
Äppelängen,förskola,Täckhammarsvägen 21,59.2816742,18.0355227,Östberga
"Preem - Stockholm,Islandstorget",Bensinmack,Bergslagsvägen,59.3463943,17.8938708,Södra Ängby
Nockeby Pizzeria,Restaurang & Snabbmat,Skaldevägen,59.3294442,17.928936,Nockeby
al Caminetto,Restaurang & Snabbmat,Gustavslundsvägen,59.3328927,17.9774152,Alvik
ICA Nära Abrahamsberg,Matbutik,Abrahamsbergsvägen,59.3361456,17.9518695,Bromma
Sorbon,Restaurang & Snabbmat,Drottningholmsvägen,59.3399236,17.9405182,Bromma
ICA Supermarket Alviks Torg,Matbutik,Drottningholmsvägen,59.3327076,17.9829618,Traneberg
ICA Supermarket,Matbutik,Tunnlandet,59.3380314,17.9383011,Åkeslund
ICA HM:s Livs,Matbutik,Bergviksvägen,59.3232066,17.9567889,Ålsten
Coop Engströms Livs,Matbutik,Nockeby Torg,59.3288554,17.9286351,Bromma
Apotek Hjärtat,Apotek,Nockeby Torg,59.3290947,17.9287271,Bromma
Nockeby bageri,Kafé,Nockeby Torg,59.3289102,17.9279354,Nockeby
ICA Nära Smelivs,Matbutik,Sunnerdahlsplan,59.3209746,17.9724739,Smedslätten
Park Konditori,Kafé,Västerled,59.3290661,17.9733633,Äppelviken
McDonald's,Restaurang & Snabbmat,Tunnlandet,59.3386853,17.938783,Bromma
Caffè Nero,Kafé,Gustavslundsvägen,59.332752,17.9816507,Alvik
Vedugnen i Alvik,Restaurang & Snabbmat,Ryggåsgatan,59.3321012,17.9744164,Alvik
Ålstens Pizzeria,Restaurang & Snabbmat,Ålstensgatan,59.3226193,17.9564095,Ålsten
Gateau,Kafé,Ålstensgatan,59.3223291,17.9556424,Ålsten
Apoteket,Apotek,Vidängsvägen,59.3350061,17.9780238,Alvik
Kullens,Restaurang & Snabbmat,Vidängsvägen,59.335329,17.9795122,Traneberg
Stammisstället,Restaurang & Snabbmat,Ängby torg,59.3473014,17.9079113,Norra Ängby
Björklunds hage,Lekplats,Runforskarvägen,59.3484479,17.9014054,Norra Ängby
East Ocean,Restaurang & Snabbmat,Tunnlandet,59.3391073,17.9388025,Bromma
Resturang Bryggan,Restaurang & Snabbmat,Lusthusbacken,59.317994,17.9447759,Ålsten
