% av total boende;Antal bostadsrätter;Antal hyresrätter;Antal äganderätter;ContentsCode;Region;Stadsdel;stadsdelsomrade;Statistikområde;Tid;Upplatelseform;Upplåtelseform_Stor;value
0,52303523;1930;;;Antal;0180R008_RegSO2025;Björkhagen;;0180R008 Björkhagen;2024;bostadsrätt;Bostadsrätt;1930
0,453387534;;1673;;Antal;0180R008_RegSO2025;Björkhagen;;0180R008 Björkhagen;2024;hyresrätt;Hyresrätt;1673
;;;;Antal;0180R008_RegSO2025;Björkhagen;;0180R008 Björkhagen;2024;uppgift saknas;Uppgift saknas;0
0,006366969;;;33;Antal;0180R009_RegSO2025;Blackeberg;Bromma;0180R009 Blackeberg;2024;äganderätt;Äganderätt;33
0,397839089;2062;;;Antal;0180R009_RegSO2025;Blackeberg;Bromma;0180R009 Blackeberg;2024;bostadsrätt;Bostadsrätt;2062
0,595793942;;3088;;Antal;0180R009_RegSO2025;Blackeberg;Bromma;0180R009 Blackeberg;2024;hyresrätt;Hyresrätt;3088
;;;;Antal;0180R009_RegSO2025;Blackeberg;Bromma;0180R009 Blackeberg;2024;uppgift saknas;Uppgift saknas;0
0,062782917;;;319;Antal;0180R010_RegSO2025;Bredäng;;0180R010 Bredäng;2024;äganderätt;Äganderätt;319
0,142098012;722;;;Antal;0180R010_RegSO2025;Bredäng;;0180R010 Bredäng;2024;bostadsrätt;Bostadsrätt;722
0,795119071;;4040;;Antal;0180R010_RegSO2025;Bredäng;;0180R010 Bredäng;2024;hyresrätt;Hyresrätt;4040
;;;;Antal;0180R010_RegSO2025;Bredäng;;0180R010 Bredäng;2024;uppgift saknas;Uppgift saknas;0
0,861111111;;;744;Antal;0180R011_RegSO2025;Bromma kyrka;Bromma;0180R011 Bromma kyrka;2024;äganderätt;Äganderätt;744
0,060185185;52;;;Antal;0180R011_RegSO2025;Bromma kyrka;Bromma;0180R011 Bromma kyrka;2024;bostadsrätt;Bostadsrätt;52
0,078703704;;68;;Antal;0180R011_RegSO2025;Bromma kyrka;Bromma;0180R011 Bromma kyrka;2024;hyresrätt;Hyresrätt;68
;;;;Antal;0180R011_RegSO2025;Bromma kyrka;Bromma;0180R011 Bromma kyrka;2024;uppgift saknas;Uppgift saknas;0
0,259347653;;;978;Antal;0180R012_RegSO2025;Bromsten;;0180R012 Bromsten;2024;äganderätt;Äganderätt;978
0,249801114;942;;;Antal;0180R012_RegSO2025;Bromsten;;0180R012 Bromsten;2024;bostadsrätt;Bostadsrätt;942
0,490851233;;1851;;Antal;0180R012_RegSO2025;Bromsten;;0180R012 Bromsten;2024;hyresrätt;Hyresrätt;1851
;;;;Antal;0180R012_RegSO2025;Bromsten;;0180R012 Bromsten;2024;uppgift saknas;Uppgift saknas;0
0,885608856;;;240;Antal;0180R013_RegSO2025;Bällsta;Bromma;0180R013 Bällsta;2024;äganderätt;Äganderätt;240
0,051660517;14;;;Antal;0180R013_RegSO2025;Bällsta;Bromma;0180R013 Bällsta;2024;bostadsrätt;Bostadsrätt;14
0,062730627;;17;;Antal;0180R013_RegSO2025;Bällsta;Bromma;0180R013 Bällsta;2024;hyresrätt;Hyresrätt;17
;;;;Antal;0180R013_RegSO2025;Bällsta;Bromma;0180R013 Bällsta;2024;uppgift saknas;Uppgift saknas;0
0,249363868;;;98;Antal;0180R014_RegSO2025;Djurgården;;0180R014 Djurgården;2024;äganderätt;Äganderätt;98
0,129770992;51;;;Antal;0180R014_RegSO2025;Djurgården;;0180R014 Djurgården;2024;bostadsrätt;Bostadsrätt;51
0,62086514;;244;;Antal;0180R014_RegSO2025;Djurgården;;0180R014 Djurgården;2024;hyresrätt;Hyresrätt;244
;;;;Antal;0180R014_RegSO2025;Djurgården;;0180R014 Djurgården;2024;uppgift saknas;Uppgift saknas;0
0,925423729;;;273;Antal;0180R015_RegSO2025;Eneby;Bromma;0180R015 Eneby;2024;äganderätt;Äganderätt;273
0,044067797;13;;;Antal;0180R015_RegSO2025;Eneby;Bromma;0180R015 Eneby;2024;bostadsrätt;Bostadsrätt;13
0,030508475;;9;;Antal;0180R015_RegSO2025;Eneby;Bromma;0180R015 Eneby;2024;hyresrätt;Hyresrätt;9
;;;;Antal;0180R015_RegSO2025;Eneby;Bromma;0180R015 Eneby;2024;uppgift saknas;Uppgift saknas;0
0,000286574;;;2;Antal;0180R016_RegSO2025;Engelbrekts kyrka;;0180R016 Engelbrekts kyrka;2024;äganderätt;Äganderätt;2
0,740220662;5166;;;Antal;0180R016_RegSO2025;Engelbrekts kyrka;;0180R016 Engelbrekts kyrka;2024;bostadsrätt;Bostadsrätt;5166
